scenario,seed,comparator,full_valid,comparator_valid,angular_travel_rad_ratio_to_full,angular_travel_rad_difference_from_full,scan_angular_travel_rad_ratio_to_full,scan_angular_travel_rad_difference_from_full,measured_positive_travel_m_ratio_to_full,measured_positive_travel_m_difference_from_full,measured_forward_m_ratio_to_full,measured_forward_m_difference_from_full,elapsed_s_ratio_to_full,elapsed_s_difference_from_full
shadow,5,matched_rocking,True,True,0.0,-0.025423450973501308,0.0,-0.025318339955064086,1.0084024909484568,0.0005064601951048492,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,6,matched_rocking,True,True,0.0,-0.026152171043460497,0.0,-0.02613334903308194,1.0083151615159494,0.0005012398212593736,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,7,matched_rocking,True,True,0.0,-0.02671735377912307,0.0,-0.026713542541511162,1.0084156032381455,0.0005072439427396963,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,8,matched_rocking,True,True,0.0,-0.02616720159985697,0.0,-0.02616719945413686,1.0084419523245214,0.0005088188184114231,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,9,matched_rocking,True,True,0.0,-0.024792059542174307,0.0,-0.02479205759462782,1.0084477020833982,0.000509162468548624,1.0,0.0,0.4375838926174497,-4.1899999999999995
wrong_direction,0,matched_scan_speed,False,False,1.3411384926086505,0.002806619207388632,1.3412566190879613,0.002807343790402761,0.9999999999973325,-1.620370504440416e-13,1.0,0.0,1.0,0.0
wrong_direction,1,matched_scan_speed,True,True,1.59619306012146,0.006292402122712048,1.596230572640337,0.006292650156105377,0.9999999999973357,-1.620509282318494e-13,1.0,0.0,1.0,0.0
wrong_direction,2,matched_scan_speed,True,True,1.7701673982156432,0.007703404990608575,1.7701673982156423,0.007703404990608575,0.9999999999973336,-1.620439893379455e-13,1.0,0.0,1.0,0.0
wrong_direction,3,matched_scan_speed,True,True,1.6117340328676135,0.0061914946383429415,1.611734058841702,0.006191494801452648,0.999999999997335,-1.620509282318494e-13,1.0,0.0,1.0,0.0
wrong_direction,4,matched_scan_speed,True,True,1.6917076974352987,0.007195722667002892,1.6917076974420084,0.007195722667044154,0.9999999999973356,-1.620439893379455e-13,1.0,0.0,1.0,0.0
wrong_direction,5,matched_scan_speed,True,True,1.7443008685286936,0.006389401420316602,1.744301402693137,0.00638940404916229,1.0000000000001423,8.652800698172314e-15,1.0,0.0,1.0,0.0
wrong_direction,6,matched_scan_speed,True,True,1.0853655723926443,0.0012107639334917857,1.0853655723926725,0.0012107639334921535,0.9999999999973339,-1.620509282318494e-13,1.0,0.0,1.0,0.0
wrong_direction,7,matched_scan_speed,True,True,1.7871894984889984,0.00909637760676605,1.7871894984955932,0.009096377606808696,1.000042267142605,2.571344097271333e-06,1.0,0.0,1.0,0.0
wrong_direction,8,matched_scan_speed,True,True,1.8103469730450914,0.008298157652143713,1.8103469730450916,0.008298157652143725,0.9999999999992113,-4.7933879088191134e-14,1.0,0.0,1.0,0.0
wrong_direction,9,matched_scan_speed,True,True,1.4073127036432536,0.004457359812494791,1.407799309260633,0.004461142374954215,0.999999999997333,-1.620439893379455e-13,1.0,0.0,1.0,0.0
wrong_direction,0,matched_rocking,False,True,0.9214376883848101,-0.0006463489097051009,0.9215188479299528,-0.0006456243266909703,1.0006114640296953,3.714296886273005e-05,1.0,0.0,0.9923896499238966,-0.02499999999999991
wrong_direction,1,matched_rocking,True,True,0.9109536143847232,-0.0009398225228439468,0.9109750229257759,-0.0009395744894506175,0.9993056929306147,-4.223032270748994e-05,1.0,0.0,0.9848942598187311,-0.04999999999999982
wrong_direction,2,matched_rocking,True,True,0.9011946635007795,-0.0009882754373273794,0.901194663500778,-0.000988275437327395,1.0001573469028486,9.562270914587057e-06,1.0,0.0,0.9848942598187311,-0.04999999999999982
wrong_direction,3,matched_rocking,True,True,0.928391993789842,-0.0007247603741029219,0.9283920087514513,-0.0007247602109932277,0.9995517792441426,-2.725573145249266e-05,1.0,0.0,0.9878787878787879,-0.040000000000000036
wrong_direction,4,matched_rocking,True,True,0.9173107782107953,-0.0008602025244934704,0.9173107782144332,-0.0008602025244522152,0.9994241686891198,-3.502003718021396e-05,1.0,0.0,0.9878787878787879,-0.040000000000000036
wrong_direction,5,matched_rocking,True,True,0.9159146529529283,-0.0007218250825266406,0.9159149334372472,-0.0007218224536809509,1.000305856253252,1.858470736953305e-05,1.0,0.0,0.9893778452200305,-0.0349999999999997
wrong_direction,6,matched_rocking,True,True,0.9222603448610536,-0.0011026034032946535,0.9222603448610777,-0.001102603403294284,0.9999814653847243,-1.126581978698471e-06,1.0,0.0,0.9939024390243902,-0.020000000000000018
wrong_direction,7,matched_rocking,True,True,0.8627957933111807,-0.001585464841278899,0.8627957933143648,-0.001585464841236256,0.999111288170634,-5.4065256740176704e-05,1.0,0.0,0.9644970414201185,-0.11999999999999966
wrong_direction,8,matched_rocking,True,True,0.8500711699256754,-0.0015353090835683071,0.8500711699256741,-0.0015353090835683227,1.0001575964995164,9.577436989260946e-06,1.0,0.0,0.9760479041916169,-0.07999999999999963
wrong_direction,9,matched_rocking,True,True,0.9220414950512972,-0.000853126121263514,0.9223603087518965,-0.0008493435588040922,1.0003684453377504,2.2386399798117462e-05,1.0,0.0,0.9848942598187311,-0.04999999999999982
nonmonotonic,0,matched_scan_speed,True,True,0.763142095444475,-0.006494964773135346,0.7631442111046455,-0.006494888753074475,0.9999999999973361,-1.620509282318494e-13,1.0,0.0,1.0,0.0
nonmonotonic,1,matched_scan_speed,True,True,0.8885955601255254,-0.002299445750667848,0.8885955601256625,-0.002299445750664663,0.999999999997336,-1.620509282318494e-13,1.0,0.0,1.0,0.0
nonmonotonic,2,matched_scan_speed,True,True,0.804114632771043,-0.003875780215754465,0.8041146327710432,-0.0038757802157544617,0.9999999999973359,-1.620439893379455e-13,1.0,0.0,1.0,0.0
nonmonotonic,3,matched_scan_speed,True,True,0.7385584334183871,-0.0047067614137261595,0.7389473499372242,-0.00469728616888446,0.9999999999973347,-1.620370504440416e-13,1.0,0.0,1.0,0.0
nonmonotonic,4,matched_scan_speed,True,True,0.9594318234362386,-0.0006245087843690846,0.9594318234362383,-0.0006245087843690881,0.999999999997334,-1.620439893379455e-13,1.0,0.0,1.0,0.0
