t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
3.4401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.4601,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.4803,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.5001,0.055000,0.055011,-0.011,-0.00000,-0.01579,0.00000,0.00000
3.5201,0.054997,0.055011,-0.014,-0.00026,-0.00996,0.00000,0.00000
3.5401,0.054990,0.055011,-0.021,-0.00041,-0.00509,-0.00124,-0.06197
3.5601,0.054982,0.055008,-0.027,-0.00047,-0.00142,-0.00151,-0.01341
3.5801,0.054972,0.054994,-0.022,-0.00047,0.00090,-0.00118,0.01620
3.6001,0.054963,0.054973,-0.011,-0.00044,0.00179,0.00000,0.05918
3.6201,0.054954,0.054961,-0.007,-0.00041,0.00123,0.00000,0.00000
3.6401,0.054946,0.054962,-0.016,-0.00040,-0.00076,0.00000,0.00000
3.6602,0.054938,0.054962,-0.024,-0.00045,-0.00409,-0.00144,-0.07211
3.6801,0.054928,0.054959,-0.032,-0.00057,-0.00850,-0.00180,-0.01794
3.7001,0.054914,0.054934,-0.019,-0.00079,-0.01388,0.00000,0.09005
3.7201,0.054895,0.054901,-0.005,-0.00113,-0.01993,-0.00115,-0.05737
3.7401,0.054868,0.054897,-0.029,-0.00159,-0.02635,-0.00295,-0.09014
3.7601,0.054831,0.054867,-0.037,-0.00219,-0.03284,-0.00361,-0.03292
3.7801,0.054780,0.054805,-0.025,-0.00291,-0.03907,-0.00365,-0.00206
3.8001,0.054714,0.054730,-0.016,-0.00375,-0.04472,-0.00422,-0.02848
3.8201,0.054629,0.054651,-0.021,-0.00469,-0.04949,-0.00552,-0.06494
3.8401,0.054525,0.054565,-0.039,-0.00572,-0.05310,-0.00736,-0.09218
3.8601,0.054400,0.054448,-0.048,-0.00680,-0.05533,-0.00863,-0.06364
3.8801,0.054253,0.054291,-0.038,-0.00792,-0.05600,-0.00918,-0.02707
3.9001,0.054084,0.054115,-0.032,-0.00903,-0.05496,-0.01008,-0.04534
3.9201,0.053892,0.053932,-0.040,-0.01011,-0.05217,-0.01167,-0.07952
3.9401,0.053680,0.053727,-0.047,-0.01111,-0.04763,-0.01290,-0.06130
