scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
007/LH_Per_S_PtD,confidence_angular_v1,3460,3460,1.0,0,0.1,0.107629995860131,,1.6209256501848007e-11,7.341406670947897e-14,0.9999999998055177,0.0023874372586040493,0.002475812098782626,0,,
007/LH_Per_S_PtD,confidence_cop_v1,3460,3460,1.0,0,0.1,0.10763001372535783,,1.6209256501848007e-11,7.341545299400922e-14,0.9999999998055177,0.0023871298366892617,0.002475865196902305,0,,
007/RH_Per_C_DtP,recorded_old,3595,3587,,0,0.1,0.1082665713928675,-5.809707966036536e-05,,,0.9456269629946867,0.002904735243670715,0.003969299002346815,0,8,0.03770696474617912
007/RH_Per_C_DtP,confidence_angular_v1,3595,3595,1.0,0,0.1,0.11503817771954308,-0.0008019830127055639,2.991068924683857e-11,2.1802615571832242e-13,0.9975694429426216,0.0023901735468876387,0.0024801071973342913,0,,
007/RH_Per_C_DtP,confidence_cop_v1,3595,3595,1.0,0,0.1,0.11503475832850665,-0.0007951281751933493,2.991068924683857e-11,2.215082347705173e-13,0.9975694429426216,0.002390335497627458,0.002480011799343629,0,,
007/RH_Per_C_PtD,recorded_old,3539,3529,,0,0.1,0.10692609697120611,0.0015635116997707698,,,0.9443926693737246,0.002920576619689791,0.003984191502240719,0,8,0.021887514185478435
007/RH_Per_C_PtD,confidence_angular_v1,3539,3539,1.0,0,0.1,0.1105492000180234,0.0012586501112487882,3.003970750130194e-11,3.1663942301474176e-13,0.9980502370521381,0.002393540612260136,0.002477002501836978,0,,
007/RH_Per_C_PtD,confidence_cop_v1,3539,3539,1.0,0,0.1,0.11054805988283836,0.0012653323806226687,3.003970750130194e-11,3.180934798563566e-13,0.9980502370521381,0.0023931521593190458,0.0024774188990704716,0,,
007/RH_Per_L_DtP,recorded_old,3581,3571,,0,0.1,0.10578395704728785,-0.0003639165158096414,,,0.9536531280756176,0.002784702474535536,0.0038197570029296912,0,5,0.005185262308570837
007/RH_Per_L_DtP,confidence_angular_v1,3581,3581,1.0,0,0.1,0.11364117471232307,-0.0008417297343209805,2.8487009192529333e-11,1.7216306505418721e-13,0.9999285679423328,0.0023887559029280385,0.002469444996677339,0,,
