scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
007/RH_Per_C_DtP,confidence_cop_v1,3595,3595,1.0,0,0.1,0.1150347583223157,-0.0007951281778677042,2.6469779601696886e-23,1.0051850206883403e-19,0.9975694431427137,0.0018412758057780132,0.0018656916021427606,0,,
007/RH_Per_C_PtD,recorded_old,3539,3529,,0,0.1,0.10692609697120611,0.0015635116997707698,,,0.9443926693737246,0.002920576619689791,0.003984191502240719,0,8,0.021887514185478435
007/RH_Per_C_PtD,confidence_angular_v1,3539,3539,1.0,0,0.1,0.11054920001132135,0.001258650103817866,2.6469779601696886e-23,0.0,0.9980502372610446,0.001839436955337025,0.0018626351993589196,0,,
007/RH_Per_C_PtD,confidence_cop_v1,3539,3539,1.0,0,0.1,0.11054805987940819,0.0012653323693984986,2.6469779601696886e-23,1.023109921164788e-19,0.9980502372610446,0.0018425397524448911,0.0018637085995578673,0,,
007/RH_Per_L_DtP,recorded_old,3581,3571,,0,0.1,0.10578395704728785,-0.0003639165158096414,,,0.9536531280756176,0.002784702474535536,0.0038197570029296912,0,5,0.005185262308570837
007/RH_Per_L_DtP,confidence_angular_v1,3581,3581,1.0,0,0.1,0.1136411747077386,-0.0008417297361907461,1.3234889800848443e-23,0.0,0.9999285681599656,0.001838464393467683,0.0018619089969433844,0,,
007/RH_Per_L_DtP,confidence_cop_v1,3581,3581,1.0,0,0.1,0.11364176966569825,-0.0008427121583965566,1.3234889800848443e-23,1.509261337955066e-19,0.9999285681599656,0.001841106096440222,0.0018623889991431497,0,,
007/RH_Per_L_PtD,recorded_old,3549,3539,,0,0.1,0.1068032610872144,,,,0.9568613751125259,0.002793865144197768,0.003803753398824483,0,12,7.793058260801583e-05
007/RH_Per_L_PtD,confidence_angular_v1,3549,3549,1.0,0,0.1,0.10881569189128754,,1.3234889800848443e-23,0.0,1.0,0.001847567857643653,0.001870833200518973,0,,
007/RH_Per_L_PtD,confidence_cop_v1,3549,3549,1.0,0,0.1,0.10881569134283244,,1.3234889800848443e-23,9.944513182646993e-20,1.0,0.0018517661304541949,0.001871370202570688,0,,
007/RH_Per_S_DtP,recorded_old,3809,3800,,0,0.1,0.1147014839887674,0.0002817181864012012,,,0.9223196899483379,0.0030318862659911142,0.004182442199089564,0,10,0.05693969576298801
007/RH_Per_S_DtP,confidence_angular_v1,3809,3809,1.0,0,0.1,0.119270806081038,-0.00033700935786730674,5.293955920339377e-23,0.0,0.9668069414122036,0.0018426521136261005,0.0018660183966858312,0,,
007/RH_Per_S_DtP,confidence_cop_v1,3809,3809,1.0,0,0.1,0.11924166388667463,-0.00031911214009029535,5.293955920339377e-23,1.4618936576643065e-19,0.9668069414122036,0.0018447740997420867,0.0018686444032937287,0,,
007/RH_Per_S_PtD,recorded_old,3782,3775,,0,0.1,0.1157784628162981,0.00255913426235084,,,0.9414389763394789,0.0029809160370156736,0.0041281906491349215,0,7,0.015072477893374169
007/RH_Per_S_PtD,confidence_angular_v1,3782,3782,1.0,0,0.1,0.11106628807122082,0.0016533894373810002,2.6469779601696886e-23,0.0,0.9811709000187583,0.001848011676314261,0.0018799517976731295,0,,
007/RH_Per_S_PtD,confidence_cop_v1,3782,3782,1.0,0,0.1,0.11104192640849905,0.0016875868255179093,2.6469779601696886e-23,1.3552527156068805e-19,0.9811709000187583,0.0018494455142924354,0.0018792365459376014,0,,
jiaqi/LH_Per_C_DtP,recorded_old,4154,4153,,0,0.1,0.15,-9.046152835790415e-06,,,0.9404601171713663,0.0024660431268862977,0.0032639271463267504,0,1,0.01021870591128928
jiaqi/LH_Per_C_DtP,confidence_angular_v1,4154,4154,1.0,0,0.1,0.15,-0.0003470940156672534,2.6469779601696886e-23,0.0,0.9866801922833209,0.0018010409139978258,0.0018220495530840708,0,,
jiaqi/LH_Per_C_DtP,confidence_cop_v1,4154,4154,1.0,0,0.1,0.15,-0.0003595111486687407,2.6469779601696886e-23,1.3575893715903717e-19,0.9866801922833209,0.0018011437932377548,0.0018216656499134842,0,,
jiaqi/LH_Per_C_PtD,recorded_old,4712,4710,,0,0.0906422560920098,0.0906422560920098,0.0011785650172506,,,0.8455940792149922,0.002588146097096721,0.0034151080973970236,0,1,0.044552842250477794
jiaqi/LH_Per_C_PtD,confidence_angular_v1,4712,4712,1.0,0,0.1,0.10455414743318708,0.0010555675325560655,1.0587911840678754e-22,0.0,0.9315527407409864,0.0017975956439556836,0.0018192530020314734,0,,
jiaqi/LH_Per_C_PtD,confidence_cop_v1,4712,4712,1.0,0,0.1,0.10454781986803609,0.0010570104478399294,1.0587911840678754e-22,1.2023125004173837e-19,0.9315527407409864,0.0017978854847213197,0.0018193813528341706,0,,
jiaqi/LH_Per_L_DtP,recorded_old,4159,4159,,0,0.1,0.15,-0.00021577188036448521,,,0.9596360873605944,0.002334559007256086,0.003032632799295243,0,0,0.006971617814186628
jiaqi/LH_Per_L_DtP,confidence_angular_v1,4159,4159,1.0,0,0.1,0.15,-0.0006231669349211655,1.3234889800848443e-23,0.0,0.999987497844911,0.0017948354938914426,0.0018171938994782978,0,,
jiaqi/LH_Per_L_DtP,confidence_cop_v1,4159,4159,1.0,0,0.1,0.15,-0.0006230108602747251,1.3234889800848443e-23,1.4134759814458362e-19,0.999987497844911,0.0017961656215417915,0.0018175929981225636,0,,
jiaqi/LH_Per_L_PtD,recorded_old,4147,4146,,0,0.09852920541236068,0.09852920541236068,,,,0.959112665892284,0.002315593087061197,0.003004532899649348,0,1,0.00013877330639747848
jiaqi/LH_Per_L_PtD,confidence_angular_v1,4147,4147,1.0,0,0.1,0.10445132242790806,,1.3234889800848443e-23,0.0,0.9999963752402334,0.001802518062231925,0.001824553497863235,0,,
jiaqi/LH_Per_L_PtD,confidence_cop_v1,4147,4147,1.0,0,0.1,0.10445133268420582,,1.3234889800848443e-23,1.0262918523367322e-19,0.9999963752402334,0.0018032711963659558,0.0018252808986289892,0,,
