sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
916254.149216926,916254.146260169,6201,1788821920.1078174,0.1130744149776708,0.3610510503988006,-0.253798631349419,0.07050210567701176,-0.01474579644642055,0.013643624676461717,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.159213014,916254.156436086,6203,1788821920.1179905,0.07997585114063069,0.29901243477093237,-0.06670237023065533,0.06558501250458466,-0.009934882284467522,0.0005505566591026065,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.169222594,916254.166294594,6205,1788821920.1278453,0.11513913403813801,0.29684152506045314,-0.21779253090671186,0.06561021893341279,-0.013754672920444905,0.014026013306706563,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.179220884,916254.176724976,6207,1788821920.1382804,0.06466401484371027,0.22430136849158258,-0.1526768328805883,0.055833943940504595,-0.014399112222820441,-0.0005365496488275202,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.189217181,916254.186376428,6209,1788821920.1479316,0.14112787093115037,0.38141249312499864,-0.05862368643687588,0.07169615653438723,-0.02259550107471847,0.010882332027272849,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.199235957,916254.196152845,6211,1788821920.157708,0.050783827138064265,0.2037738532269836,-0.17287850127502324,0.056130650184607125,-0.00856696534685888,-0.0008796078264596413,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.209214623,916254.206671315,6213,1788821920.168228,0.1404407379502638,0.2817784732244466,-0.15102640456929992,0.06350803606351482,-0.0180841699189602,0.006418875317743933,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.219216027,916254.216370156,6215,1788821920.1779172,0.13364553771761853,0.1996527503463561,-0.09972886319490705,0.057847958767286656,-0.020458908377313925,0.002078059577708659,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.229215746,916254.226425313,6217,1788821920.187982,0.0748672942563462,0.2368847821059658,-0.20291905803440996,0.058732834176409496,-0.011439846862616423,0.011493344830563103,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.239217342,916254.236964228,6219,1788821920.1985207,0.08498589144202275,0.19647075014605067,-0.2500130078306404,0.05432481397650346,-0.010451888428680318,0.004221722114948808,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.249208007,916254.246624734,6221,1788821920.208176,0.030736905562900242,0.14636041668468813,-0.15486344022300305,0.05340935059271084,-0.007405650865353919,0.009125684219451022,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.259212752,916254.256316675,6223,1788821920.2178729,0.10029309782858573,0.26516008818048,-0.1451021380666558,0.06096771948621631,-0.011434965979180561,-0.0010909623596700516,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.269216662,916254.266509256,6225,1788821920.2280638,0.10926725480251864,0.3425895425052697,-0.17197156062861452,0.0688010438678108,-0.015542646307708893,0.01376330935101273,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.279210656,916254.276483805,6227,1788821920.2380295,0.08476971038602464,0.22994928586078112,-0.14063394053104727,0.0614549173606926,-0.013191684506934179,-0.001357324885240551,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.289209128,916254.286879064,6229,1788821920.2484353,0.06396696166562002,0.32627750160325575,-0.16595277237825365,0.06919358130242045,-0.012417425639161114,0.005820349838277956,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.299205688,916254.296344039,6231,1788821920.257901,0.04112598265306222,0.18069113213581073,-0.1662610016963596,0.05505341335508567,-0.008334021035217807,-0.000611157606469178,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.309213529,916254.306784935,6233,1788821920.268338,0.15339847004271612,0.3466578858798207,-0.18210299263283453,0.07013558569556028,-0.020056718919174595,0.013838529100314443,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.319213542,916254.316373747,6235,1788821920.2779298,0.037588817563814735,0.17473126389055627,-0.15933111730149024,0.05674746243655876,-0.00882908497519627,-0.001409044394062569,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.329213259,916254.326391436,6237,1788821920.2879481,0.1629233265885297,0.23566823510935853,-0.23089838796441903,0.058788421747100805,-0.01705244234152523,0.012658305429588314,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.339221927,916254.337248236,6239,1788821920.2987986,0.13409947858487917,0.23812222478991332,-0.18354045328049334,0.059621899985476984,-0.013886115632558961,-0.0003466416825429336,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.349214172,916254.346348671,6241,1788821920.3079047,0.11463033771805245,0.35756983506282936,-0.11742519328326849,0.07295241199205835,-0.0189944447079346,0.010463377016759673,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.359213445,916254.356404289,6243,1788821920.3179605,0.04401024028463446,0.2014510539252144,-0.21284669225858638,0.059115972075532444,-0.007641170594955567,-0.004886922344652579,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.369221481,916254.366829206,6245,1788821920.3283694,0.20177052402146284,0.3246684218162237,-0.1304827997381763,0.06487400972151988,-0.02316762646933043,0.009274711421719713,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.379216892,916254.376424997,6247,1788821920.337978,0.07182602640132751,0.25853976271189905,-0.14898286949608114,0.060976338721374646,-0.011470197186559852,0.0005904007175464542,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
